AÑO,DENUNCIAS,CONDENAS_CON_CONFORMIDAD,CONDENAS_SIN_CONFORMIDAD,INOCENTES,POPULATION
2006,158883,16656,9939,132288,43.96
2007,126293,16731,11633,97929,44.54
2008,142125,17830,13348,110947,45.13
2009,135540,18294,14256,102990,45.61
2010,134105,17955,14786,101364,46.84
2011,134002,17258,14145,102599,47.19
2012,128543,16436,13848,98259,47.46
2013,124894,15713,12562,96619,47.63
2014,126742,15869,12496,98377,47.71
2015,129193,16303,12567,100323,46.68
2016,142893,19090,12142,111661,47.02
2017,166260,20329,12817,133114,47.36
2018,166936,22451,12543,131942,47.64
2019,168057,24294,12240,131523,47.70
2020,150785,20370,9977,120438,47.68
2021,162848,27809,13264,121775,47.76
2022,182065,30860,13358,137847,47.83
2023,199282,35256,13269,150757,47.91
2024,199094,36120,13958,149016,47.91
2025,204342,39234,10956,154152,47.89