Month,ML,AI,CI,big data,data science
2010-01,6,9,11,5,5
2010-02,6,9,11,5,5
2010-03,6,9,16,5,4
2010-04,7,9,11,5,4
2010-05,6,9,9,5,4
2010-06,6,9,10,5,4
2010-07,5,9,8,5,3
2010-08,5,9,8,5,4
2010-09,6,9,9,6,5
2010-10,6,10,13,5,4
2010-11,6,10,12,5,4
2010-12,6,10,9,5,4
2011-01,6,10,11,7,5
2011-02,6,10,9,6,5
2011-03,7,10,12,7,4
2011-04,6,11,13,7,4
2011-05,6,10,12,8,4
2011-06,6,10,9,8,4
2011-07,5,10,9,8,3
2011-08,6,11,12,8,4
2011-09,7,11,12,9,5
2011-10,9,12,15,11,5
2011-11,8,15,14,12,5
2011-12,7,19,9,12,4
2012-01,7,26,13,15,5
2012-02,7,22,11,18,5
2012-03,7,19,10,20,5
2012-04,8,17,16,22,5
2012-05,7,15,13,24,4
2012-06,7,13,8,24,4
2012-07,7,13,8,26,4
2012-08,7,11,10,25,5
2012-09,8,12,14,31,7
2012-10,8,12,15,37,6
2012-11,8,11,14,37,6
2012-12,7,11,11,34,4
2013-01,7,11,11,41,5
2013-02,8,11,10,43,6
2013-03,8,12,14,50,6
2013-04,9,11,13,53,6
2013-05,8,11,14,53,6
2013-06,7,11,12,52,6
2013-07,8,11,8,54,5
2013-08,8,11,10,50,7
2013-09,9,11,12,58,8
2013-10,11,11,12,63,7
2013-11,11,11,13,62,7
2013-12,10,11,13,55,6
2014-01,10,11,12,65,8
2014-02,12,11,15,71,9
2014-03,12,11,15,73,8
2014-04,12,10,13,68,8
2014-05,11,11,14,70,8
2014-06,10,12,10,70,8
2014-07,11,11,10,73,8
2014-08,11,11,11,73,10
2014-09,13,12,16,82,14
2014-10,13,13,16,85,12
2014-11,14,16,13,80,12
2014-12,13,14,12,69,11
2015-01,14,14,13,78,13
2015-02,15,13,15,85,13
2015-03,16,12,17,94,13
2015-04,17,12,19,89,14
2015-05,16,14,14,81,14
2015-06,16,11,12,81,13
2015-07,17,12,13,76,13
2015-08,17,10,11,71,16
2015-09,18,11,17,85,20
2015-10,19,11,16,85,18
2015-11,21,12,17,78,17
2015-12,20,12,12,74,16
2016-01,20,12,14,76,18
2016-02,23,11,18,86,19
2016-03,24,12,18,86,19
2016-04,24,11,17,86,19
2016-05,26,13,17,84,20
2016-06,24,11,13,82,20
2016-07,23,11,10,73,19
2016-08,24,11,12,72,20
2016-09,29,12,17,85,25
2016-10,30,12,19,85,24
2016-11,35,13,19,90,25
2016-12,33,13,17,79,25
2017-01,36,12,20,85,29
2017-02,41,12,26,96,29
2017-03,41,12,27,100,29
2017-04,43,11,23,92,31
2017-05,46,12,20,89,31
2017-06,47,11,18,83,32
2017-07,45,11,14,78,31
2017-08,46,11,18,81,34
2017-09,49,11,25,87,38
2017-10,54,12,24,98,37
2017-11,58,13,27,95,37
2017-12,52,13,23,72,34
2018-01,56,12,26,80,43
2018-02,57,12,29,89,44
2018-03,61,12,27,92,43
2018-04,59,11,29,80,42
2018-05,57,11,27,82,45
2018-06,56,12,26,75,42
2018-07,58,11,23,75,42
2018-08,58,11,26,80,45
2018-09,61,12,30,86,51
2018-10,65,11,31,95,50
2018-11,62,11,30,86,46
2018-12,56,11,26,66,44
2019-01,63,11,28,77,53
2019-02,64,11,35,79,56
2019-03,62,11,32,80,54
2019-04,61,12,32,77,55
2019-05,66,11,30,75,55
2019-06,66,11,31,76,57
2019-07,66,11,29,73,61
2019-08,66,11,32,70,64
2019-09,72,11,38,79,68
2019-10,69,12,40,84,64
2019-11,66,12,43,93,64
2019-12,64,11,35,74,60
2020-01,70,11,43,74,68
2020-02,72,11,44,78,71
2020-03,61,12,35,68,58
2020-04,65,12,40,71,62
2020-05,63,13,37,67,61
2020-06,64,12,41,69,66
2020-07,64,12,38,67,70
2020-08,62,11,35,64,70
2020-09,71,11,49,74,74
2020-10,58,11,35,70,64
2020-11,54,11,32,66,53
2020-12,52,12,29,58,57
2021-01,53,11,31,60,57
2021-02,56,11,35,62,57
2021-03,57,13,36,64,59
2021-04,53,12,34,63,58
2021-05,53,12,34,63,61
2021-06,58,13,33,63,64
2021-07,57,13,33,59,62
2021-08,52,12,30,55,62
2021-09,56,13,42,64,66
2021-10,59,14,54,66,65
2021-11,59,13,48,70,62
2021-12,58,14,40,64,63
2022-01,73,15,59,68,85
2022-02,84,15,67,84,89
2022-03,90,15,66,85,91
2022-04,100,15,69,86,90
2022-05,90,15,61,77,86
2022-06,92,16,62,70,92
2022-07,80,15,54,65,89
2022-08,79,17,61,63,100
2022-09,86,17,73,79,98
2022-10,83,19,76,79,89
2022-11,89,19,72,74,86
2022-12,88,28,63,63,77
2023-01,90,27,69,63,91
2023-02,91,33,75,68,96
2023-03,89,35,77,66,90
2023-04,86,49,73,68,86
2023-05,89,63,73,72,92
2023-06,87,61,72,71,95
2023-07,84,57,66,66,95
2023-08,83,58,69,68,93
2023-09,86,55,86,71,95
2023-10,86,64,80,69,87
2023-11,87,68,81,59,80
2023-12,82,66,72,56,83
2024-01,91,70,77,60,94
2024-02,100,74,90,66,98
2024-03,96,80,92,65,95
2024-04,98,76,98,61,90
2024-05,94,78,86,64,94
2024-06,93,78,73,55,93
2024-07,85,76,77,49,92
2024-08,84,84,74,52,92
2024-09,86,85,100,66,93
2024-10,90,96,96,60,85
2024-11,95,100,93,59,88
2024-12,82,96,81,50,77